 0e0 # 1.085854e-08          # dimensionless surface pressure
      1001             # radial resolution
# r  rho
0.000000000000000e+00  7.631985685617184e+01
6.959900000002480e+07  7.631804175711387e+01
1.391980000000496e+08  7.631259675731229e+01
2.087970000000745e+08  7.630352285678252e+01
2.783960000000992e+08  7.629082169381641e+01
3.479950000001240e+08  7.627449556263883e+01
4.175940000001488e+08  7.625454741203819e+01
4.871930000001736e+08  7.623098084403946e+01
5.567920000001984e+08  7.620380011250670e+01
6.263910000002232e+08  7.617301012155075e+01
6.959900000002480e+08  7.613861642371366e+01
7.655890000002729e+08  7.610062521792099e+01
8.351880000002977e+08  7.605904334720069e+01
9.047870000003223e+08  7.601387829616827e+01
9.743860000003471e+08  7.596513818827961e+01
1.043985000000372e+09  7.591283178285242e+01
1.113584000000397e+09  7.585696847185818e+01
1.183183000000422e+09  7.579755827648674e+01
1.252782000000446e+09  7.573461184348497e+01
1.322381000000471e+09  7.566814044127241e+01
1.391980000000496e+09  7.559815595583550e+01
1.461579000000521e+09  7.552467088640358e+01
1.531178000000546e+09  7.544769834090869e+01
1.600777000000571e+09  7.536725203123223e+01
1.670376000000596e+09  7.528334626824122e+01
1.739975000000621e+09  7.519599595661711e+01
1.809574000000646e+09  7.510521658948043e+01
1.879173000000670e+09  7.501102424281399e+01
1.948772000000696e+09  7.491343556968862e+01
2.018371000000721e+09  7.481246779429442e+01
2.087970000000745e+09  7.470813870578112e+01
2.157569000000770e+09  7.460046665191128e+01
2.227168000000795e+09  7.448947053253006e+01
2.296767000000820e+09  7.437516979285530e+01
2.366366000000845e+09  7.425758441659192e+01
2.435965000000870e+09  7.413673491887470e+01
2.505564000000895e+09  7.401264233904323e+01
2.575163000000919e+09  7.388532823325380e+01
2.644762000000945e+09  7.375481466693185e+01
2.714361000000969e+09  7.362112420706974e+01
2.783960000000994e+09  7.348427991437410e+01
2.853559000001019e+09  7.334430533526726e+01
2.923158000001044e+09  7.320122449374725e+01
2.992757000001069e+09  7.305506188311112e+01
3.062356000001094e+09  7.290584245754599e+01
3.131955000001119e+09  7.275359162359290e+01
3.201554000001144e+09  7.259833523148775e+01
3.271153000001169e+09  7.244009956638467e+01
3.340752000001194e+09  7.227891133946610e+01
3.410351000001219e+09  7.211479767894507e+01
3.479950000001243e+09  7.194778612096395e+01
3.549549000001268e+09  7.177790460039532e+01
3.619148000001293e+09  7.160518144154919e+01
3.688747000001319e+09  7.142964534879223e+01
3.758346000001343e+09  7.125132539708355e+01
3.827945000001368e+09  7.107025102243240e+01
3.897544000001393e+09  7.088645201228236e+01
3.967143000001418e+09  7.069995849582780e+01
4.036742000001443e+09  7.051080093426687e+01
4.106341000001468e+09  7.031901011099657e+01
4.175940000001493e+09  7.012461712175471e+01
4.245539000001518e+09  6.992765336471399e+01
4.315138000001542e+09  6.972815053053291e+01
4.384737000001568e+09  6.952614059236890e+01
4.454336000001593e+09  6.932165579585832e+01
4.523935000001617e+09  6.911472864906844e+01
4.593534000001642e+09  6.890539191242635e+01
4.663133000001667e+09  6.869367858862974e+01
4.732732000001693e+09  6.847962191254409e+01
4.802331000001717e+09  6.826325534109172e+01
4.871930000001742e+09  6.804461254313702e+01
4.941529000001767e+09  6.782372738937256e+01
5.011128000001792e+09  6.760063394221125e+01
5.080727000001817e+09  6.737536644568878e+01
5.150326000001841e+09  6.714795931538114e+01
5.219925000001866e+09  6.691844712834178e+01
5.289524000001891e+09  6.668686461306274e+01
5.359123000001916e+09  6.645324663946448e+01
5.428722000001941e+09  6.621762820891861e+01
5.498321000001966e+09  6.598004444430764e+01
5.567920000001990e+09  6.574053058012647e+01
5.637519000002016e+09  6.549912195262941e+01
5.707118000002040e+09  6.525585399002695e+01
5.776717000002066e+09  6.501076220273639e+01
5.846316000002090e+09  6.476388217369002e+01
5.915915000002115e+09  6.451524954870528e+01
5.985514000002140e+09  6.426490002691999e+01
6.055113000002165e+09  6.401286935129690e+01
6.124712000002191e+09  6.375919329920103e+01
6.194311000002215e+09  6.350390767305323e+01
6.263910000002239e+09  6.324704829106373e+01
6.333509000002265e+09  6.298865097804863e+01
6.403108000002290e+09  6.272875155633299e+01
6.472707000002316e+09  6.246738583674370e+01
6.542306000002339e+09  6.220458960969484e+01
6.611905000002364e+09  6.194039863636915e+01
6.681504000002390e+09  6.167484863999798e+01
6.751103000002415e+09  6.140797529724294e+01
6.820702000002440e+09  6.113981422968179e+01
6.890301000002464e+09  6.087040099540133e+01
6.959900000002489e+09  6.059977108069973e+01
7.029499000002515e+09  6.032795989190078e+01
7.099098000002539e+09  6.005500274728252e+01
7.168697000002564e+09  5.978093486912233e+01
7.238296000002589e+09  5.950579137586092e+01
7.307895000002613e+09  5.922960727438689e+01
7.377494000002639e+09  5.895241745244426e+01
7.447093000002664e+09  5.867425667116450e+01
7.516692000002689e+09  5.839515955772509e+01
7.586291000002713e+09  5.811516059813609e+01
7.655890000002738e+09  5.783429413015647e+01
7.725489000002764e+09  5.755259433634159e+01
7.795088000002789e+09  5.727009523722329e+01
7.864687000002813e+09  5.698683068462380e+01
7.934286000002838e+09  5.670283435510483e+01
8.003885000002863e+09  5.641813974355272e+01
8.073484000002889e+09  5.613278015690102e+01
8.143083000002913e+09  5.584678870799103e+01
8.212682000002937e+09  5.556019830957143e+01
8.282281000002963e+09  5.527304166843765e+01
8.351880000002988e+09  5.498535127971165e+01
8.421479000003013e+09  5.469715942126265e+01
8.491078000003037e+09  5.440849814826932e+01
8.560677000003062e+09  5.411939928792393e+01
8.630276000003088e+09  5.382989443427846e+01
8.699875000003113e+09  5.354001494323339e+01
8.769474000003138e+09  5.324979192766891e+01
8.839073000003162e+09  5.295925625271869e+01
8.908672000003187e+09  5.266843853118648e+01
8.978271000003212e+09  5.237736911910506e+01
9.047870000003239e+09  5.208607811143761e+01
9.117469000003262e+09  5.179459533792124e+01
9.187068000003286e+09  5.150295035905236e+01
9.256667000003311e+09  5.121117246221335e+01
9.326266000003336e+09  5.091929065794039e+01
9.395865000003363e+09  5.062733367633160e+01
9.465464000003387e+09  5.033532996359512e+01
9.535063000003412e+09  5.004330767873638e+01
9.604662000003435e+09  4.975129469038377e+01
9.674261000003460e+09  4.945931857375216e+01
9.743860000003487e+09  4.916740660774315e+01
9.813459000003511e+09  4.887558577218132e+01
9.883058000003536e+09  4.858388274518551e+01
9.952657000003561e+09  4.829232390067398e+01
1.002225600000359e+10  4.800093530600259e+01
1.009185500000361e+10  4.770974271973465e+01
1.016145400000364e+10  4.741877158954151e+01
1.023105300000366e+10  4.712804705023245e+01
1.030065200000368e+10  4.683759392191274e+01
1.037025100000371e+10  4.654743670826849e+01
1.043985000000373e+10  4.625759959497706e+01
1.050944900000375e+10  4.596810644824132e+01
1.057904800000378e+10  4.567898081344680e+01
1.064864700000380e+10  4.539024591393978e+01
1.071824600000382e+10  4.510192464992520e+01
1.078784500000385e+10  4.481403959748246e+01
1.085744400000387e+10  4.452661300769802e+01
1.092704300000390e+10  4.423966680591265e+01
1.099664200000392e+10  4.395322259108205e+01
1.106624100000394e+10  4.366730163524914e+01
1.113584000000397e+10  4.338192488312615e+01
